TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,DeltaSeconds,Text,Location,StateProvince,Country,City,hasLocation,hasStateProvince,hasCountry,hasCity,hasTime,hasCriminal,hasDuration,hasDate,hasOrganization,hasDeath,hasMoney,hasIdeology,hasNumber,hasReligion,hasPerson,hasSet
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,37,51,False,2475,1897,1,2,1,False,infrastructure_and_utilities_damage,79,0,MobileApp,0,RT @SFGate: We're updating this interactive map of reported damage from the Napaquake. Check it out: http://t.co/24Db832o4U http://t.co/qyâ€¦,None,None,None,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,37328,1132,False,10587,3297,1,1,1,True,injured_or_dead_people,13,0,MobileApp,0,"RT @YourAnonNews: Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http://t.co/ibSTSBU9BJ",area,None,None,bay,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,530,1022,False,9039,1709,7,0,0,False,other_useful_information,0,0,MobileApp,1,"RT @MarshGlobal: Napa, California earthquake was region's most severe since 1989. Get tips on how affected should respond http://t.co/X4G6â€¦",None,california,None,napa,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,23,59,False,72,1413,0,1,1,False,other_useful_information,135,0,Client Web,2,Jawbone Looks At UP Data To See How Many Were Woken Up By The Napa Earthquake: Jawbone has shown one of the mo... http://t.co/uPPDpHSkbF,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,1918,899,True,11190,3410,0,0,0,False,injured_or_dead_people,0,0,MobileApp,2,The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPAÂ Calif. (Reuters) - A 6.0 magnitude... http://t.co/GfBaXVvn8v,napaâ,calif.,None,francisco,True,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,957,1124,True,31592,2097,0,1,1,False,sympathy_and_emotional_support,753,0,MobileApp,3,RT @JSimrock: Thinking of all those dealing with the aftermath of the earthquake in California.,None,california,None,None,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,154,348,True,1780,2063,0,1,0,False,infrastructure_and_utilities_damage,50,0,Tablet,4,RT @RT_com: Economic losses from California earthquake could top $1 billion http://t.co/yAtwKZgCBA,None,california,None,None,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,1347,839,True,127319,2330,2,1,0,False,other_useful_information,4542,0,MobileApp,4,RT @dbfish: The single most California photo of all time. napaquake http://t.co/1KIMJzNprs,None,california,None,None,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,431,192,False,15876,2541,1,0,0,False,other_useful_information,3007,0,MobileApp,5,RT @heyyouapp: USA Â» NEWS Â» http://t.co/TPSViMWZMs HOT NEWS 425 Earthquake Northern California Struck by 6.0 Magnitude Earthquake Earthquaâ€¦,None,california,usa,None,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2482,1160,False,71166,3587,0,1,1,False,not_related_or_irrelevant,96,0,Client Web,5,Did God Send Earthquake Because California Ship Workers DenyÂ Israel http://t.co/4md1LfhE7z,None,california,israel,None,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
