TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds,Text,Location,StateProvince,Country,City,hasLocation,hasStateProvince,hasCountry,hasCity,hasTime,hasCriminal,hasDuration,hasDate,hasOrganization,hasDeath,hasMoney,hasIdeology,hasNumber,hasReligion,hasPerson,hasSet
382813388503412736,Wed Sep 25 10:26:38 +0000 2013,503,518,True,4085,2023,3,2,0,False,other_useful_information,6,0,0,"USGS reports a M1.7 earthquake 70km ESE of Healy, Alaska on 9/28/13 @ 2:45:15 UTC http://t.co/MQkCfKZisl quake",None,alaska,None,None,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,2551,498,True,18842,3061,2,2,0,False,not_related_or_irrelevant,20,0,1,"QuakeFactor M 3.0, Southern Alaska: Sunday, September 29, 2013 21:15:20 UTCSunday, Septemb... http://t.co/edtau43Co2 earthquake, quake",southern,alaska,None,None,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,218,235,True,20799,2000,2,1,1,False,not_related_or_irrelevant,4,0,3,What you wanna say abt TTP PeaceTalks &amp; Pakistan ??? Call now &amp; LetsTalk to RJ @ubaid_imran Live Now Insaf... http://t.co/tUAIo0krST,None,None,pakistan,None,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,7605,4194,False,181299,2195,2,3,1,False,donation_needs_or_offers_or_volunteering_services,1,0,12,Top Story: Pakistan quake survivors face long wait for aid: Awaran (Pakistan)- Tens of thousan... http://t.co/Cd6SYLXs5f pakistan news,None,None,pakistan,None,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
382813444011204608,Wed Sep 25 10:26:52 +0000 2013,117,273,False,6629,2522,1,1,1,False,other_useful_information,252,0,14,"USGS reports a M1.2 earthquake 6km SSE of San Juan Bautista, California on 9/27/13 @ 21:36:47 UTC http://t.co/ZBpGpA5kNE quake",None,california,None,bautista,False,True,False,True,True,False,False,True,True,True,False,False,True,False,False,False
382813445495586816,Wed Sep 25 10:26:52 +0000 2013,517,331,True,20848,1813,2,1,0,False,other_useful_information,5,0,14,"RT @ErumManzoor: Island that emerged near Gwadar earthquake is temporary, say experts. Hmmm.  How about setting up a TTP office there? viaâ€¦",None,None,None,gwadar,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,12701,395,True,25074,2707,2,2,0,False,not_related_or_irrelevant,20,0,19,@AQpk 1300+ People have been killed due to terrorism in last 15 weeks. http://t.co/vwUGXigs6p  OverthrowCorruptSystem Pakistan,None,None,pakistan,None,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
382813467528282112,Wed Sep 25 10:26:57 +0000 2013,1031,2101,True,6637,3317,2,1,1,False,injured_or_dead_people,16,0,19,"Quetta quake toll 328, more deaths feared http://t.co/RQYwYjUnxh Karachi Pakistan",None,None,pakistan,karachi,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
382813501489946624,Wed Sep 25 10:27:05 +0000 2013,68,154,False,1534,1754,3,1,0,False,injured_or_dead_people,4,0,27,"RT @RT_com: Update: Death toll in Peshawar bomb blast rises to 38, about 100 injured - hospital officials http://t.co/N4phtjDGk8 Pakistan",None,None,pakistan,peshawar,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,1909,46,False,36955,1725,2,0,1,False,not_related_or_irrelevant,0,0,30,RT @CNBCPAKISTAN: Ch. Nisar: Rockets were fired at a rescue and relief helicopter when it tried to access earthquake victims in Balochistâ€¦,balochistâ,None,ch,None,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,12233,855,True,58619,2978,3,1,0,False,donation_needs_or_offers_or_volunteering_services,5,1,31,Azerbaijani Ministry of Emergency Situations offered to Pakistan to hold rescue operations in the quake-hit regions http://t.co/rlrOxB65s6,None,None,pakistan,None,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
382813530396700672,Wed Sep 25 10:27:12 +0000 2013,1740,1391,True,13110,3635,1,2,0,False,other_useful_information,71,0,34,RT @RT_com: PHOTO: NASA releases image of Pakistan's 'Earthquake Island' http://t.co/aBHdfEFZEl http://t.co/iwEFUiequ1,None,None,pakistan,None,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
382813532305096705,Wed Sep 25 10:27:13 +0000 2013,21130,364,False,26556,3021,1,1,0,False,other_useful_information,9,0,35,"earthquake: M 1.0, Northern California http://t.co/6RRJuGEgb7",northern,california,None,None,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
382813540366954497,Wed Sep 25 10:27:15 +0000 2013,20,10,False,35617,2234,1,0,1,False,other_useful_information,0,0,37,"RT @VincentTongue: Peru  earthquake M6.8M, Depth:33km   25 Sep 2013 16:42UTC   About 14191 people within 100km http://t.co/cC0ICGysLX",None,None,peru,None,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
382813540413095936,Wed Sep 25 10:27:15 +0000 2013,20,10,False,35617,2234,1,0,1,False,injured_or_dead_people,0,0,37,"RT @FoxNews: Pakistan militants fire on quake relief helicopter, as death toll rises to 348: http://t.co/avePx9rEAU",None,None,pakistan,None,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
382813561875361792,Wed Sep 25 10:27:20 +0000 2013,1155,4541,True,21051,3128,1,2,0,False,missing_trapped_or_found_people,71,0,42,RT @Fahdhusain: 11 kids recovered alive from under earthquake rubble in Awaran. Shukar Allah!! earthquake,awaran,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
382813587410259968,Wed Sep 25 10:27:26 +0000 2013,28844,987,False,304640,2979,1,1,0,False,injured_or_dead_people,2,0,48,"Awaran mn 312 dead,, Keich mn 44 dead..:( Balochistan earthquake",balochistan,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
382813601024995328,Wed Sep 25 10:27:29 +0000 2013,5411,786,True,21155,2967,4,1,0,False,donation_needs_or_offers_or_volunteering_services,2,0,51,RT @allaboutmqm: News: This is the time of the need we must help the affected people of Balochistan: @MQMUSA MQM Pakistan http://t.co/HQâ€¦,balochistan,None,pakistan,None,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
382813620356534272,Wed Sep 25 10:27:34 +0000 2013,28844,987,False,304640,2979,3,2,0,False,donation_needs_or_offers_or_volunteering_services,6,0,56,RT @Chiltan: she is waiting for your help Awaran girl child BalochistanEarthquake  http://t.co/jlzN8iMrOx,None,None,None,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
