TweetID,Label,Text,Location,StateProvince,Country,City,hasLocation,hasStateProvince,hasCountry,hasCity
451187618697736192,sympathy_and_emotional_support,"PrayForChile They've prayed for us, Philippines because of the typhoon yolanda... It's time to pray for them.. xxx",None,None,philippines,None,False,False,True,False
451187620945887232,not_related_or_irrelevant,"I hope that @justinbieber will follow me.I'm still waiting for this.I would be very happy if you make it happen,really.I love you babeä_¥Ÿ x57",None,None,None,None,False,False,False,False
451187621843070976,sympathy_and_emotional_support,RT @AvrilLavigne: Thinking of everyone in Chile today. Hope all of you are safe! prayforchile ChileEarthquake,None,None,chile,None,False,False,True,False
451187631507132416,not_related_or_irrelevant,RT @freddiearomerop: World laugh of Peruvian Army http://t.co/YvnKMEra2n Windsor Essex Hounslow Nunavut latam Chile England Europe äó_,europe,None,england,None,True,False,True,False
451187637437476865,not_related_or_irrelevant,Hard to believe that the Peru trip is almost over. I am so proud of the seniors in my family group - they did such a great job this week!,None,None,peru,None,False,False,True,False
451187637463031808,not_related_or_irrelevant,@nashtonkitty our little weirdo lovehim http://t.co/sdW66s7ryo,None,None,None,None,False,False,False,False
451187638515421184,not_related_or_irrelevant,RT @CageTheElephant: Who can resist the classic J champ thumbs up pic!  argentina chile cagetheelephant http://t.co/1Low8hjXQt,None,None,None,None,False,False,False,False
451187641808330752,sympathy_and_emotional_support,RT @eyprelrows: PrayforSouthKorea PrayforChile PrayforIndonesia PrayforNepal PrayforUkraine PrayforFlores  PrayforTheWorld :( so manäó_,None,None,None,None,False,False,False,False
451187644048084992,sympathy_and_emotional_support,RT @dwaynereywinson: Prayers to the people of Chile. May God grant you all peace. à__F PrayForChile IndonesianRespect,None,None,chile,None,False,False,True,False
451187646602047488,not_related_or_irrelevant,Let's right Armando Cristian Perez,None,None,None,None,False,False,False,False
451187647226998784,sympathy_and_emotional_support,"RT @aquaticsPH: Let us pause for a while and pray for our friends who lived in Chile, magnitude of 8.2 earthquake has struck them. Prayforäó_",prayforäó,None,chile,None,True,False,True,False
451187650439815168,sympathy_and_emotional_support,RT @DemiLovatoFans: RT @ddlovato Praying for Chile... My heart is with you all right now _ôÍ„ / PrayForChile,None,None,chile,None,False,False,True,False
451187658052476928,sympathy_and_emotional_support,RT @AyyTangaLangDre: Earthquakes can't shake us. Let's all offer a prayer for Chile. PrayForChile,None,None,chile,None,False,False,True,False
451187659151400961,sympathy_and_emotional_support,PrayForChile... it's hard to cope after the earthquake esp when you know aftershocks will go on for days or even months.,None,None,None,None,False,False,False,False
451187659709235200,not_related_or_irrelevant,I'm belieber since 2009 and I will be forever. You're the Best idol I've ever had in my life :) i Love You So Much @justinbieber x11,None,None,None,None,False,False,False,False
451187660858462208,not_related_or_irrelevant,äóì@QueenNigger: Chille's... I never liked dat restaurant... i hope dha cookers and dha servers are okay doe! PrayForChile ChileEarthquakeäó,None,None,None,None,False,False,False,False
451187668710617088,sympathy_and_emotional_support,"RT @MamaGH: Pray for Chile, and earthquake disaster. à__F",None,None,chile,None,False,False,True,False
451187669251280896,sympathy_and_emotional_support,RT @KennyHamilton: PrayforChile may God continue to be with you all.,None,None,None,None,False,False,False,False
451187673521483776,sympathy_and_emotional_support,RT @offscottfreee: Hearts going out to those suffering in the wake of the earthquake in Chile PrayForChile,None,None,chile,None,False,False,True,False
451187673693044736,not_related_or_irrelevant,RT @philstockworld: News You Can Use from Philstockworld HFT ChileEarthquake $EWJ Japan China $SPY $PCG $MNKD $GOOG $FB -- http://t.co/äó_,philstockworld,None,china,None,True,False,True,False
451187675899240448,sympathy_and_emotional_support,"M5.5  45km WNW of Iquique, Chile 11April2014 12:00:51 UTC PrayersForPapuaNewGuinea PrayersForChile USGS NOAA http://t.co/QHlTdMDI2V",None,None,chile,iquique,False,False,True,True
451187684237910017,sympathy_and_emotional_support,@selenagomez PrayForChile chileneedyou ChileEarthquake please we need you selena..,None,None,None,None,False,False,False,False
451187685307068416,sympathy_and_emotional_support,RT @kendrick38: PrayforChile &amp; everyone effected by the 8.2 magnitude earthquake and/or tsunami (&amp; the 300 prisoners who escaped à_£3) à__Fà__F,None,None,None,None,False,False,False,False
451187686075039744,sympathy_and_emotional_support,"Oh no, terrible earthquake last night in Chile. PrayForChile à__F",None,None,chile,None,False,False,True,False
451187698309406720,sympathy_and_emotional_support,"RT @TheMindBlowing: An 8.0 magnitude earthquake hit Chile. Tsunami warning issued for Chile, Peru, and Ecuador. Let's pray for them _ô»: httpäó_",None,None,ecuador,None,False,False,True,False
451187699374780416,sympathy_and_emotional_support,RT @linbea945: Just saw Jype's boys had good performance in Japan M!countdown n we thanks God! Also pray for Chile good recover from earthqäó_,None,None,chile,None,False,False,True,False
451187700436324352,sympathy_and_emotional_support,RT @tiaannn_: PrayForChile  We're with u FuerzaChile äì_,None,None,None,None,False,False,False,False
451187710049652736,sympathy_and_emotional_support,"RT @adri9234: My thoughts and prayers go out to those affected by the earthquake in Chile, and those affected by the shooting today...",None,None,chile,None,False,False,True,False
451187710854967296,sympathy_and_emotional_support,RT @dwiyantiptr: Stay safe guys! Our prayers go out with you all. PrayForChile http://t.co/FL3bUWyAV6,None,None,None,None,False,False,False,False
451187717183795200,sympathy_and_emotional_support,"Chile got a 8.2 earthquake , prayers go out to them _ô»ë_ô»",None,None,chile,None,False,False,True,False
451187719767474176,sympathy_and_emotional_support,RT @ChanYeollin: PRAYFORMH370  PRayForChile  PrayForSinabung  PrayForIndonesia  PrayForNigeria PrayForSouthKorea   This _ôïÊ is sad. It äó_,None,None,None,None,False,False,False,False
451187722493779970,not_related_or_irrelevant,Chancheando! instafood instachile chile laserena http://t.co/wJPUfWY52Y,None,None,chile,None,False,False,True,False
451187726008991744,sympathy_and_emotional_support,"RT @InfiniteCrewINA: PrayForChile PrayForSouthKorea PrayForIndonesia PrayForNigeria  Whatever your religions are, lets keep praying. htäó_",None,None,None,None,False,False,False,False
451187726402867200,donation_needs_or_offers_or_volunteering_services,RT @TheTweetOfGod: PrayForChile. Or help them. One or the other.,None,None,None,None,False,False,False,False
451187729842581504,not_related_or_irrelevant,@justinbieber see me please ! its my dream,None,None,None,None,False,False,False,False
