TweetID,CreationTime,DeltaSeconds,Followed,Followers,GeoTagged,Label,TotalTweets,TwitterAge,Verified,nHashTags,nLikes,nMentions,nRetweets,nUrls
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,0:00:00,51,37,False,infrastructure_and_utilities_damage,2475,1893,False,1,0,2,79,1
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,0:00:00,1132,37307,False,injured_or_dead_people,10569,3292,True,1,0,1,13,1
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,0:00:01,1022,535,False,other_useful_information,9022,1704,False,7,0,0,0,0
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,0:00:02,59,23,False,other_useful_information,70,1408,False,0,0,1,134,1
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,0:00:02,901,1920,True,injured_or_dead_people,11179,3405,False,0,0,0,0,0
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,0:00:03,1123,953,True,sympathy_and_emotional_support,31553,2092,False,0,0,1,753,1
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,0:00:04,348,154,True,infrastructure_and_utilities_damage,1780,2059,False,0,0,1,50,0
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,0:00:04,841,1351,True,other_useful_information,127287,2325,False,2,0,1,4542,0
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,0:00:05,192,434,False,other_useful_information,15873,2536,False,1,0,0,3009,0
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,0:00:05,1160,2485,False,not_related_or_irrelevant,71144,3583,False,0,0,1,96,1
503642998664884225,Sun Aug 24 20:40:22 +0000 2014,0:00:05,1705,1334,False,other_useful_information,239654,1557,False,1,0,0,0,1
503642998832242689,Sun Aug 24 20:40:22 +0000 2014,0:00:05,44,71,False,caution_and_advice,1739,1678,False,2,0,1,4542,0
503643000913006593,Sun Aug 24 20:40:23 +0000 2014,0:00:06,1841,699,True,other_useful_information,46712,1445,False,2,0,1,58,0
503643001185636352,Sun Aug 24 20:40:23 +0000 2014,0:00:06,4571,7107,False,infrastructure_and_utilities_damage,41603,1733,False,4,0,0,0,1
503643001722118144,Sun Aug 24 20:40:23 +0000 2014,0:00:06,2252,1868,False,other_useful_information,9153,2731,False,2,0,1,2,0
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,0:00:06,264,105,False,not_related_or_irrelevant,4518,1413,False,0,0,1,101,1
503643004759195650,Sun Aug 24 20:40:24 +0000 2014,0:00:07,159,303,True,injured_or_dead_people,2636,1518,False,2,0,1,32,0
503643009817128960,Sun Aug 24 20:40:25 +0000 2014,0:00:08,1012,25030,False,injured_or_dead_people,39410,3641,False,0,0,2,1,1
503643010127499264,Sun Aug 24 20:40:25 +0000 2014,0:00:08,95,96,True,other_useful_information,4341,2379,False,4,0,0,0,0
