TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,nRetweets,nLikes,Source,isRetweet,Text,InfoSource,InfoType,Informativeness,DeltaSeconds
388923108922781697,Sat Oct 12 07:04:29 +0000 2013,525,365,True,7155,2528,1,1,0,False,1,0,OtherSite,False,"It's ridiculous,,,RT @ThatGuyTiisetso: #redoctober making people so emotional its crazy",Not labeled,Not labeled,Not related,-1417
388929052247347200,Sat Oct 12 07:28:06 +0000 2013,76,175,True,705,2154,0,0,1,False,0,0,Facebook,False,A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -... http://t.co/4kwIvUGNUj,Media,Caution and advice,Related and informative,0
388945930130841600,Sat Oct 12 08:35:10 +0000 2013,499,97,True,827,2105,0,0,1,False,1,0,Facebook,False,NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj,Government,Caution and advice,Related and informative,4024
388955358901067776,Sat Oct 12 09:12:38 +0000 2013,704,72,True,877,2277,1,0,1,False,4,0,UnofficialApps,False,"Fire Danger Update - Tomorrow signs will be on VERY HIGH - http://t.co/arvGu19d4d
Southern Ranges Region #NSWRFS Permits Suspended",Government,Caution and advice,Related and informative,6272
388972203242704896,Sat Oct 12 10:19:34 +0000 2013,2650,3436,True,28666,2635,1,0,0,False,1,0,MobileApp,False,You can't be supporting #RedOctober mr white man if your maid / cook / helper is black she gon poison yo food just chill,Not labeled,Not labeled,Not related,10288
388986124107927553,Sat Oct 12 11:14:53 +0000 2013,954,1125,True,31611,2099,1,1,1,False,17,0,MobileApp,True,"RT @smh: ""Do not light fires in the open"": RFS warns as #Sydney braces for strong winds and hot weather on Sunday. http://t.co/4Y6lLeUeXa",Media,Caution and advice,Related and informative,13607
389061734847500288,Sat Oct 12 16:15:20 +0000 2013,9606,23,False,31098,2071,1,0,0,False,0,0,MobileApp,False,"@mynameisjerm it's no coincident that #RedOctober commemorates menstrual cycle, give them time to mourn the bloodshed",Not labeled,Not labeled,Not related,31634
389085352956530688,Sat Oct 12 17:49:11 +0000 2013,3688,946,True,112070,2881,1,0,0,False,0,0,MobileApp,False,White privilege means never having your intelligence or integrity questioned. Not having to work hard enough for your position. #RedOctober,Not labeled,Not labeled,Not related,37265
389160691040387072,Sat Oct 12 22:48:33 +0000 2013,254,600,False,8033,2178,2,0,0,False,0,0,MobileApp,False,"What we did: Beat Greinke and Kershaw

What we need to do: Win two more

#Cardinals #RedOctober",Not labeled,Not labeled,Not related,55227
389160976282427392,Sat Oct 12 22:49:41 +0000 2013,176,560,True,1683,3690,3,2,0,False,0,0,MobileApp,False,THAT'S A WINNER! @Cardinals #GoCards #RedOctober #NLCS @TrevRosenthal is the man!,Not labeled,Not labeled,Not related,55295
389161399899140096,Sat Oct 12 22:51:22 +0000 2013,233,308,True,1021,2660,2,0,0,False,0,2,MobileApp,False,Life is good with the Samford bulldogs pulling off a big win and the Cardinals leading 2-0 in the NLCS!!! #RedOctober ❤️⚾️#BowWow 🏈💙,Not labeled,Not labeled,Not related,55396
389174297400324096,Sat Oct 12 23:42:37 +0000 2013,124,149,False,10543,2940,0,1,0,False,0,0,Client Web,False,@AndrewCatsaras just read big fire for Sydney? hope not really serious?,Outsiders,Other Useful Information,Related - but not informative,58471
389189413667758080,Sun Oct 13 00:42:41 +0000 2013,6844,2060,True,65695,2298,1,0,1,False,1,0,MobileApp,False,"Another extreme fire danger day for NSW, with heat and thunderstorms creating extreme bushfire danger: http://t.co/8LvhtwugK4 #ANN",Government,Other Useful Information,Related and informative,62075
389229293101785089,Sun Oct 13 03:21:09 +0000 2013,1086,1030,True,5245,3445,2,1,0,False,6,0,Client Web,True,RT @NSWRFS: #NSWRFS crews are responding to a fire reported in the Salt Ash area (Port Stephens). #nswfires,Government,Other Useful Information,Related and informative,71583
389244749125017600,Sun Oct 13 04:22:34 +0000 2013,77,259,False,757,2555,1,1,0,False,0,0,MobileApp,False,"Enough said ""@Know: Racism &amp; homophobia is linked to having a lower IQ."" #RedOctober",Not labeled,Not labeled,Not related,75268
389248066819084288,Sun Oct 13 04:35:45 +0000 2013,20304,1326,True,54929,3374,1,1,0,True,11,0,TweetDeck,True,"RT @NSWRFS: Browns Rd, Salt Ash - fire has jumped the Tilligerry Creek and #NSWRFS aircraft and crews are working to contain spot fires. #n…",Government,Other Useful Information,Related and informative,76059
389252483412791296,Sun Oct 13 04:53:18 +0000 2013,245,632,False,179671,1943,0,0,1,False,0,0,OtherSite,False,Forest / Wild Fire - Australia - Australia http://t.co/uxyenGCmO9,Media,Other Useful Information,Related and informative,77112
389256438650257408,Sun Oct 13 05:09:01 +0000 2013,75,196,False,2475,2406,1,1,0,False,150,0,MobileApp,True,RT @ComicalTshepo: Can the #RedOctober marchers also cc the etolls on their placards and chants. Can't waste a good crowd.,Not labeled,Not labeled,Not related,78055
389258464461348864,Sun Oct 13 05:17:04 +0000 2013,3768,3717,True,185831,3710,0,2,0,False,28,0,MobileApp,True,RT @MarkDiStef: Smoke billowing from the car-park at Sydney Olympic Park... where 20 cars are on fire via @Quarriephoto http://t.co/p1NqLSn…,Eyewitness,Infrastructure and utilities,Related - but not informative,78538
389262222561525761,Sun Oct 13 05:32:00 +0000 2013,1439,29,False,141311,2495,0,0,1,False,0,0,Facebook,False,"NSW ** Watch and Act - Webbs Creek (Hawkesbury) **
13/10/13 15:57
 
A bush fire is currently burning between... http://t.co/FCEhEydcuz",Government,Infrastructure and utilities,Related and informative,79434
389263355057152000,Sun Oct 13 05:36:30 +0000 2013,11446,7023,True,115754,3350,0,1,0,True,13,0,OtherSite,True,RT @7NewsBrisbane: PHOTO: Dozens of cars are on fire at Sydney Olympic Park Aquatic Centre http://t.co/Lx2ZkZgzO1,Media,Other Useful Information,Related and informative,79704
389270841864626176,Sun Oct 13 06:06:15 +0000 2013,2581,2474,False,243878,3487,2,0,1,False,1,0,Twitterfeed,False,Forest / Wild Fire - Australia - Australia: EDIS Number: WF-20131013-41255-AUSDate / time:... http://t.co/7JcTE6yB2q #anonymous #anonops,NGOs,Caution and advice,Related and informative,81489
389276814549331968,Sun Oct 13 06:29:59 +0000 2013,924,1434,False,17525,2972,1,1,1,False,31,0,Client Web,True,RT @smh: More than 40 cars have been destroyed in a large fire in #Sydney's Olympic Park. http://t.co/UBpJIsU1sR,Media,Infrastructure and utilities,Related and informative,82913
389281960981327872,Sun Oct 13 06:50:26 +0000 2013,1327,1018,True,5487,2431,2,1,0,True,11,0,Client Web,True,"RT @NSWRFS: #NSWRFS &amp; #FRNSW crews on scene working to contain a fire at Parbury Park (Lake Macquarie), near the Old Pacific Highway, Swans…",NGOs,Other Useful Information,Related and informative,84140
389290542527680512,Sun Oct 13 07:24:32 +0000 2013,156,319,False,8110,1930,2,1,0,False,1,0,OtherSite,True,"RT @interesting_f: A fire in Australia has been burning for more than 5,000 years! #interesting #didyouknow",Not labeled,Not labeled,Not related,86186
389316773683527680,Sun Oct 13 09:08:46 +0000 2013,73,169,True,2015,3422,1,1,0,False,0,0,MobileApp,False,"""@702sydney: Fire crews are checking car fuel tanks after a grassfire spread to the carpark of Sydney's Olympic Aquatic Centre #TooClose",Media,Infrastructure and utilities,Related and informative,92440
