TweetID,Label,Text,Location,StateProvince,Country,City,hasLocation,hasStateProvince,hasCountry,hasCity,hasTime,hasCriminal,hasDuration,hasDate,hasOrganization,hasDeath,hasMoney,hasIdeology,hasNumber,hasReligion,hasPerson,hasSet
508332154271461376,injured_or_dead_people,"RT @Endtimesnews: Raging Floods Kill Over 440 in Pakistan, India - ABC News http://t.co/mhEu6gpg1U via @ABC",None,None,india,None,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
508332173532073985,donation_needs_or_offers_or_volunteering_services,RT @Joydas: Please use Kashmir Flood hashtag only if u need help or offering help so that agencies can track. Keep it free from ur politicaâ€¦,kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
508332177608568832,other_useful_information,Jammu and Kashmir Floods: Yasin Malik Creates Hurdles In Indian Armyâ€™s Relief â€¦ â€“ http://t.co/18xkPUmKaeÂ TopNews http://t.co/1ky91jbIT4,kashmir,None,None,jammu,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
508332184613027840,injured_or_dead_people,"Pakistan Flood Sinks Boat Carrying Wedding Party: Boat carrying wedding party sinks in Pakistan flood, killing 18 http://t.co/3iA8InjT3p",None,None,pakistan,None,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
508332187448401920,donation_needs_or_offers_or_volunteering_services,RT @KlasraRauf: Pungovt claims CMSS took 9 helicopter flights2South Punjab in1day to monitor floods Oh I got it.Floods got frightened&amp;now eâ€¦,None,None,None,None,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False
508332198714294272,donation_needs_or_offers_or_volunteering_services,RT @timesofindia: J&amp;K floods: Helpline numbers http://t.co/OG4GWlqMgs Do RT.  KashmirFloods http://t.co/eOq4oJrFE5,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332211821490176,caution_and_advice,"RT @ahsan_jehangir: Heavy rainfall and floods India PakistanFloods, leading to some of the worst flooding in decades. http://t.co/CO2sY6Mâ€¦",None,None,india,None,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
508332237591293952,other_useful_information,RT @abpnewstv: Hafiz Saeed blames 'water terrorism' by India for Kashmir floods http://t.co/IBcQaAEvlG,kashmir,None,india,None,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
508332247867355136,donation_needs_or_offers_or_volunteering_services,United Nations Authority: Flood Rescue Operations In Kashmir (India) http://t.co/CQT4JPvYjV,kashmir,None,india,None,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
508332247900901376,sympathy_and_emotional_support,flood affected people of jammu and kashmir and relatives of those people can use this http://t.co/cSELRTXTlV,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332262317113345,injured_or_dead_people,"They are not organized like Kashmir. 28 dead in landslides, floods in northeast India  http://t.co/QcfmZA7Slb",kashmir,None,india,None,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
508332271381008384,donation_needs_or_offers_or_volunteering_services,"RT @doctoratlarge: Meanwhile, Aamir Khan is so pained by Kashmir floods that he will dedicate an entire SMJ episode on it and earn another â€¦",kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
508332273280622592,donation_needs_or_offers_or_volunteering_services,RT @ArvindKejriwal: All AAP MLAs to donate Rs 20 lakh each for Kashmir flood relief from their MLA funds.,kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
508332276032487426,sympathy_and_emotional_support,Embrace of Social Media Aids Flood Victims in Kashmir http://t.co/tuTlhgevqo,kashmir,None,None,None,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
508332287524499456,donation_needs_or_offers_or_volunteering_services,"Hey, I've just donated Rs. 10 for Kashmir Flood Relief through @hikeapp Hike4Kashmir",relief,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
508332291190689792,donation_needs_or_offers_or_volunteering_services,RT @OfficialMqm: MQM charity wing KKF Lahore have setup flood relief camps in all over Punjab http://t.co/CaHi83jUyN,punjab,None,None,None,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
508332314561376256,caution_and_advice,RT @OfficialMqm: Altaf Hussain: I urge the current Government of Pakistan to do something for the flood victims. AltafHussainDay Pakistanâ€¦,None,None,pakistan,None,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False
508332328004091904,other_useful_information,VIDEO: Anger at Pakistan floods response http://t.co/AVohbgmnLh,None,None,pakistan,None,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
508332338988601344,injured_or_dead_people,RT @JamilaHanan: Bodies floating in streets whilst India scales back operations due to a few stones!!! KashmirFloods http://t.co/zR1X7FDKâ€¦,None,None,india,None,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
508332340817719296,other_useful_information,"Kashmir Floods: Officials Provided With Satellite Phones, Communication Sets http://t.co/dyJkKj0sSo",kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332342176677888,injured_or_dead_people,(Yeremiito21) Flood Waters Submerge Parts of Kashmir; 120 Dead: Flood waters submerge large sw... http://t.co/YauG2D1rT3 (Yeremiito21),kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
508332342717325312,injured_or_dead_people,"Monsoon Floods Kill Nearly 300 In India, Pakistan http://t.co/lgoVlsBD4i",None,None,pakistan,None,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
508332350187397120,injured_or_dead_people,Floods kill hundreds in Pakistan and Kashmir http://t.co/OhN9jAG5EX [Sale http://t.co/pAwiBsEQ5m ] news,kashmir,None,pakistan,None,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
508332364867829760,other_useful_information,RT @IndiaToday: In pics: Kashmir faces worst flooding in more than five decades http://t.co/aozBEueAei http://t.co/Ysu1g2E1E5,kashmir,None,None,None,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
508332370202591232,other_useful_information,"RT @RanaAyyub: "" Aren't you f***ing grateful for the help â€” that is how it sounds."" writes @basharat_peer on the KashmirFloods http://t.coâ€¦",None,None,None,None,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
508332371192467456,sympathy_and_emotional_support,kashmir floods on a news channel..i think i hv tears in my eyes,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332372027125760,sympathy_and_emotional_support,RT @htTweets: Watch | Nation stands by Jammu and Kashmir flood victims: Modi http://t.co/SEzA0fdPaK http://t.co/r9gD3aFLtf,kashmir,None,None,jammu,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
