TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds,Text,Location,StateProvince,Country,City,hasLocation,hasStateProvince,hasCountry,hasCity,hasTime,hasCriminal,hasDuration,hasDate,hasOrganization,hasDeath,hasMoney,hasIdeology,hasNumber,hasReligion,hasPerson,hasSet
508332173532073985,Sat Sep 06 19:13:29 +0000 2014,996,1125,True,9867,3012,0,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,MobileApp,False,5,RT @Joydas: Please use Kashmir Flood hashtag only if u need help or offering help so that agencies can track. Keep it free from ur politicaâ€¦,kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
508332198714294272,Sat Sep 06 19:13:35 +0000 2014,52,2,True,254836,2383,0,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,False,11,RT @timesofindia: J&amp;K floods: Helpline numbers http://t.co/OG4GWlqMgs Do RT.  KashmirFloods http://t.co/eOq4oJrFE5,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332247867355136,Sat Sep 06 19:13:46 +0000 2014,279,212,True,3155,1457,0,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,MobileApp,False,22,United Nations Authority: Flood Rescue Operations In Kashmir (India) http://t.co/CQT4JPvYjV,kashmir,None,india,None,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
508332247900901376,Sat Sep 06 19:13:46 +0000 2014,15,84,False,233,1413,0,1,1,False,sympathy_and_emotional_support,5,0,MobileApp,True,22,flood affected people of jammu and kashmir and relatives of those people can use this http://t.co/cSELRTXTlV,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332273280622592,Sat Sep 06 19:13:52 +0000 2014,72,7,False,79341,1604,0,0,2,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,False,28,RT @ArvindKejriwal: All AAP MLAs to donate Rs 20 lakh each for Kashmir flood relief from their MLA funds.,kashmir,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
508332276032487426,Sat Sep 06 19:13:53 +0000 2014,71,35,False,581,1893,0,2,0,False,sympathy_and_emotional_support,0,1,TweetDeck,False,29,Embrace of Social Media Aids Flood Victims in Kashmir http://t.co/tuTlhgevqo,kashmir,None,None,None,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
508332291190689792,Sat Sep 06 19:13:57 +0000 2014,1415,487,True,17344,2105,1,1,1,False,donation_needs_or_offers_or_volunteering_services,0,1,Client Web,False,33,RT @OfficialMqm: MQM charity wing KKF Lahore have setup flood relief camps in all over Punjab http://t.co/CaHi83jUyN,punjab,None,None,None,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
508332371192467456,Sat Sep 06 19:14:16 +0000 2014,1093,235,False,38992,1803,2,0,1,False,sympathy_and_emotional_support,0,0,Twitterfeed,False,52,kashmir floods on a news channel..i think i hv tears in my eyes,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
508332439756754944,Sat Sep 06 19:14:32 +0000 2014,155,597,False,4326,3579,4,1,0,False,donation_needs_or_offers_or_volunteering_services,105,0,MobileApp,True,68,RT @OfficialMqm: KKF distributing relief goods among victims of flood in different districts of Punjab http://t.co/TbyIEw8AgQ MQM http:/â€¦,punjab,None,None,None,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
508332506349711360,Sat Sep 06 19:14:48 +0000 2014,10083,5216,False,130211,3344,1,1,0,False,donation_needs_or_offers_or_volunteering_services,1,0,Client Web,True,84,RT @DDNewsbreaking: People in flood affected areas of Poonch (J&amp;K) provided healthcare and relief material KashmirFloods http://t.co/n6LKTâ€¦,poonch,None,None,None,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
