TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
498497723600211968,Sun Aug 10 15:54:53 +0000 2014,347,935,False,1227,3335,0,1,1,False,not_related_or_irrelevant,2,0,MobileApp,True,14
498497977561133056,Sun Aug 10 15:55:54 +0000 2014,156,5,False,119498,1405,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,Facebook,False,75
498498145563582464,Sun Aug 10 15:56:34 +0000 2014,9,7,False,128,2272,0,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,Facebook,False,115
498498260395634688,Sun Aug 10 15:57:01 +0000 2014,447,681,True,5430,2101,0,0,0,False,not_related_or_irrelevant,0,0,MobileApp,False,142
498498722150752256,Sun Aug 10 15:58:51 +0000 2014,1155,8,False,471324,2075,0,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,252
498499186737053696,Sun Aug 10 16:00:42 +0000 2014,470,272,True,5848,2730,3,1,0,False,donation_needs_or_offers_or_volunteering_services,0,1,MobileApp,False,363
498499290818682880,Sun Aug 10 16:01:07 +0000 2014,35384,137,True,100909,2760,0,0,0,True,sympathy_and_emotional_support,2,5,MobileApp,False,388
498499323525885952,Sun Aug 10 16:01:15 +0000 2014,3033,2947,True,110966,2988,0,1,0,False,not_related_or_irrelevant,1,0,MobileApp,True,396
498499340248178690,Sun Aug 10 16:01:19 +0000 2014,52,2,True,254836,2383,0,0,0,False,not_related_or_irrelevant,0,0,OtherSite,False,400
498499524025778176,Sun Aug 10 16:02:02 +0000 2014,1207,644,True,33888,1949,0,1,0,False,not_related_or_irrelevant,154,0,MobileApp,True,443
498499891564654592,Sun Aug 10 16:03:30 +0000 2014,1628,1505,True,161850,2569,0,2,0,False,sympathy_and_emotional_support,8,0,Client Web,True,531
498500653321572353,Sun Aug 10 16:06:32 +0000 2014,3538,1104,True,14956,2455,0,1,0,False,donation_needs_or_offers_or_volunteering_services,2,0,MobileApp,True,713
498500982914179072,Sun Aug 10 16:07:50 +0000 2014,1260,2364,True,2020,2672,0,1,1,False,not_related_or_irrelevant,1,0,MobileApp,True,791
498501004628090880,Sun Aug 10 16:07:55 +0000 2014,316,196,True,15564,2599,0,1,0,False,not_related_or_irrelevant,1,0,MobileApp,True,796
498501390684422144,Sun Aug 10 16:09:27 +0000 2014,127,134,True,1835,1912,0,1,0,False,donation_needs_or_offers_or_volunteering_services,419,0,Client Web,True,888
498501651691753472,Sun Aug 10 16:10:30 +0000 2014,23304,599,False,28175,3420,0,1,0,True,not_related_or_irrelevant,0,0,UnofficialApps,False,951
498502260318826497,Sun Aug 10 16:12:55 +0000 2014,238,347,False,4813,2260,1,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,Tablet,False,1096
498502448454307840,Sun Aug 10 16:13:40 +0000 2014,417,406,False,33371,1425,1,1,0,False,sympathy_and_emotional_support,20,0,Tablet,True,1141
498502509317853185,Sun Aug 10 16:13:54 +0000 2014,3067,5000,True,143131,2956,0,1,1,False,not_related_or_irrelevant,25,0,MobileApp,True,1155
498502566938816514,Sun Aug 10 16:14:08 +0000 2014,506,500,True,9547,2503,0,0,0,False,not_related_or_irrelevant,0,1,MobileApp,False,1169
498502994447851521,Sun Aug 10 16:15:50 +0000 2014,461,1456,True,9794,3198,0,0,0,False,not_related_or_irrelevant,0,0,MobileApp,False,1271
498502999011258368,Sun Aug 10 16:15:51 +0000 2014,432,361,True,4767,2585,0,1,0,False,not_related_or_irrelevant,0,0,MobileApp,False,1272
498503044964028417,Sun Aug 10 16:16:02 +0000 2014,661,326,True,60770,2276,0,3,1,False,donation_needs_or_offers_or_volunteering_services,15,0,MobileApp,True,1283
498503141651132416,Sun Aug 10 16:16:25 +0000 2014,436,549,False,7351,2656,0,0,0,False,sympathy_and_emotional_support,0,0,MobileApp,False,1306
498503379271032834,Sun Aug 10 16:17:22 +0000 2014,1463,509,True,7296,1932,0,0,1,True,sympathy_and_emotional_support,0,0,OtherSite,False,1363
498503379736223744,Sun Aug 10 16:17:22 +0000 2014,727,888,True,32710,2762,0,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,1363
498503392038092800,Sun Aug 10 16:17:25 +0000 2014,1,0,False,265,1553,0,2,1,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,False,1366
